ID	质控状态
2WC12001YHT257	PASS
2WC12001YHT279	PASS
2WC12001YHT280	PASS
2WC12001YHT288	PASS
2WC12001YHT293	PASS
2WJ1190618001M	PASS
2WJ1190618002M	PASS
2WJ1190618003T	PASS
2WJ1190618005M	PASS
2WJ1190618007M	PASS
2WJ1190618010M	PASS
2WJ1190618011M	PASS
2WJ1190618011T	PASS
2WJ1190618012M	PASS
2WJ1190618013M	PASS
2WJ1190618019M	PASS
2WJ1190618021M	PASS
2WJ1190618027M	PASS
2WJ1190618027T	PASS
2WJ1190618030M	PASS
2WJ1190618030T	PASS
30331809199225	PASS
31421809199369	PASS
31591810065191	PASS
31881809291170	PASS
32001809291341	PASS
32341809291294	PASS
32831809198949	PASS
32851811590668	PASS
33391811591018	PASS
33811809291143	PASS
35041809181949	PASS
35061809195667	PASS
35861811590763	PASS
36311809291231	PASS
36581809291228	PASS
37511809291158	PASS
37881809196107	PASS
38481809196061	PASS
39641809182567	PASS
40131809195978	PASS
40921809195525	PASS
41881809199773	PASS
44141809290867	PASS
44451809196096	PASS
44541809195673	PASS
45561810065173	PASS
45761809291253	PASS
46201809195887	PASS
46961809199798	PASS
48471809199786	PASS
48661809199614	PASS
48931809198733	PASS
49171803627571	PASS
61201811590718	PASS
61631809291171	PASS
62241809196054	PASS
62661809195909	PASS
62861809195514	PASS
62861809295598	PASS
62991809195668	PASS
63391809199052	PASS
64651811580012	PASS
65411809199072	PASS
65431811593335	PASS
66681809291160	PASS
67091809181952	PASS
67941809291241	PASS
6806180816034W	PASS
68681809182544	PASS
70131809290730	PASS
70311809195932	PASS
71251809295272	PASS
71541809199601	PASS
71681811590645	PASS
72151809199622	PASS
72591809198654	PASS
72921809290888	PASS
73151809195743	PASS
73201809196053	PASS
73351809291235	PASS
7340180816668W	PASS
73741809198852	PASS
73811811593251	PASS
73821809195746	PASS
74321809199395	PASS
74381809291144	PASS
74381809292821	PASS
75261809190254	PASS
80181809190197	PASS
8279180819080W	PASS
84171809190317	PASS
87911809190418	PASS
89181809190148	PASS
9647180819081W	PASS
BDC11907090003	PASS
BDC11907090016	PASS
BDC11907090050	PASS
BDC11907090103	PASS
BDC11907090106	PASS
BDC11907090125	PASS
BDC11907090132	PASS
BDC11907090164	PASS
BDC11907090245	PASS
BDC11907090282	PASS
WDC11804190007	PASS
WDC11804190015	PASS
WDC11804190026	PASS
WDC11804190060	PASS
WDC11804190063	PASS
WDC11804190080	PASS
WDC11806290005	PASS
WDC11806290048	PASS
WDC11806290052	PASS
WDC11806290061	PASS
WDC11806290062	PASS
WDC11806290079	PASS
WDC11806290091	PASS
WDC11806290092	PASS
WDC11806290099	PASS
WDC11806290107	PASS
WDC11806290116	PASS
WDC11806290119	PASS
WDC11806290157	PASS
WDC11806290177	PASS
WDC11806290184	PASS
WDC11806290247	PASS
Y21100000492488	PASS
Y21100000492490	PASS
Y21100000492491	PASS
Y21100000492493	PASS
Y21100000492494	PASS
Y21100000492504	PASS
Y21100000492505	PASS
Y21100000492506	PASS
Y21100000492507	PASS
Y21100000492509	PASS
Y21100000492511	PASS
Y21100000492512	PASS
Y21100000492513	PASS
Y21100000492516	PASS
Y21100000492522	PASS
Y21100000492525	PASS
Y21100000492526	PASS
Y21100000492527	PASS
Y21100000492528	PASS
Y21100000492530	PASS
Y21100000492535	PASS
Y21100000492536	PASS
Y21100000492538	PASS
Y21100000492542	PASS
Y21100000492543	PASS
Y21100000492545	PASS
Y21100000492547	PASS
Y21100000492548	PASS
Y21100000492549	PASS
Y21100000492550	PASS
Y21100000492553	PASS
Y21100000492555	PASS
Y21100000492556	PASS
Y21100000492557	PASS
Y21100000492559	PASS
Y21100000492561	PASS
Y21100000492562	PASS
Y21100000492566	PASS
Y21100000492567	PASS
Y21100000492568	PASS
Y21100000492571	PASS
Y21100000492575	PASS
Y21100000492576	PASS
Y21100000492578	PASS
Y21100000492580	PASS
Y21100000492584	PASS
Y21100000492585	PASS
Y21100000492586	PASS
Y21100000492589	PASS
Y21100000492594	PASS
Y21100000492597	PASS
Y21100000492611	PASS
Y21100000492613	PASS
Y21100000492615	PASS
Y21100000492617	PASS
Y21100000492618	PASS
Y21100000492620	PASS
Y21100000492621	PASS
Y21100000492624	PASS
Y21100000492625	PASS
Y21100000492627	PASS
Y21100000492629	PASS
Y21100000492630	PASS
Y21100000492631	PASS
Y21100000492633	PASS
Y21100000492634	PASS
Y21100000492635	PASS
Y21100000492637	PASS
Y21100000492641	PASS
Y21100000492642	PASS
