ID	RG	CHIP_ID	#SNPS	#READS	AVG_DP	FREEMIX	FREELK1	FREELK0	FREE_RH	FREE_RA	CHIPMIX	CHIPLK1	CHIPLK0	CHIP_RH	CHIP_RA	DPREF	RDPHET	RDPALT
HG01870	NA	NA	10000	313464	31.3527	7.57312e-09	-74993.8	-132777	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01871	NA	NA	10000	325424	32.5489	2.30129e-08	-77246.5	-77246.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01872	NA	NA	10000	336813	33.6948	1.55031e-08	-81117.5	-81117.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01873	NA	NA	10000	334063	33.4197	1.46655e-05	-80481.2	-133326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01874	NA	NA	10000	326455	32.6553	4.43838e-09	-81676.6	-81676.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01878	NA	NA	10000	334407	33.444	2.16309e-09	-79191.1	-135199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01879	NA	NA	10000	321438	32.147	4.81241e-08	-83980.7	-88325.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01880	NA	NA	10000	296862	29.6921	4.74616e-09	-83358.9	-146658	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01881	NA	NA	10000	338095	33.8163	1.11447e-08	-90074.5	-153222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01882	NA	NA	10000	324488	32.4585	5.13607e-09	-82002.9	-138656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01883	NA	NA	10000	323093	32.319	7.10265e-09	-82635.4	-82635.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01884	NA	NA	10000	344178	34.4281	8.2117e-10	-89475	-160337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01885	NA	NA	10000	323465	32.353	7.55051e-09	-83792.2	-140546	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01886	NA	NA	10000	328266	32.8332	0.00152525	-87778.8	-92441.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01887	NA	NA	10000	354399	35.4505	1.64909e-05	-91773.4	-122970	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01888	NA	NA	10000	352606	35.2677	9.58703e-09	-90442.9	-90442.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01889	NA	NA	10000	297266	29.7385	9.00701e-09	-74584.3	-74584.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01890	NA	NA	10000	321455	32.1487	2.95512e-09	-83798.5	-151968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01891	NA	NA	10000	328376	32.8409	9.16481e-09	-82858.9	-143922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01892	NA	NA	10000	318543	31.8575	2.21567e-09	-78123.8	-78123.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01893	NA	NA	10000	299792	29.9852	1.75905e-05	-77834.1	-125945	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01894	NA	NA	10000	413403	41.3527	1.58919e-09	-103871	-168124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01895	NA	NA	10000	364101	36.4174	3.60425e-09	-94702.2	-160575	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01896	NA	NA	10000	316884	31.6979	4.83985e-09	-78348.2	-139952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01897	NA	NA	10000	352013	35.2048	5.49568e-09	-88008.4	-111192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01898	NA	NA	10000	338909	33.8977	0.000228648	-86088.3	-95234.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01912	NA	NA	10000	297701	29.785	5.92571e-05	-77084.1	-110008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01914	NA	NA	10000	300505	30.0535	1.95829e-09	-79206.8	-147154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01915	NA	NA	10000	299072	29.9102	6.33342e-09	-76629.3	-136229	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01916	NA	NA	10000	292345	29.2462	9.39589e-10	-76677	-141855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01917	NA	NA	10000	309738	30.9924	2.19546e-09	-71407.6	-171132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01918	NA	NA	10000	316971	31.7098	5.34075e-09	-73108.8	-73108.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01919	NA	NA	10000	337247	33.7382	8.04533e-09	-77432.9	-77432.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01920	NA	NA	10000	312012	31.2043	3.33482e-08	-64891.8	-84142.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01921	NA	NA	10000	308267	30.8267	1.93881e-08	-72144.5	-72144.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01922	NA	NA	10000	342417	34.2451	1.38455e-08	-77351.7	-77351.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01923	NA	NA	10000	304843	30.4904	2.54427e-08	-66527.4	-66527.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01924	NA	NA	10000	324283	32.4315	3.09646e-08	-81038.9	-81038.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01925	NA	NA	10000	354601	35.4672	2.06489e-09	-83227.2	-162260	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01926	NA	NA	10000	323090	32.3187	3.79432e-09	-68496.9	-68496.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01927	NA	NA	10000	338435	33.8469	2.14618e-09	-73454.5	-108287	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01928	NA	NA	10000	359701	35.9737	3.1622e-08	-76487.6	-99367.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01932	NA	NA	10000	322692	32.2757	2.58698e-09	-73729.9	-73729.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01933	NA	NA	10000	322763	32.2795	1.49642e-08	-81888.3	-81888.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01934	NA	NA	10000	366622	36.6622	9.06815e-09	-88326.3	-88326.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01935	NA	NA	10000	344756	34.4825	1.78785e-08	-81169.2	-81169.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01936	NA	NA	10000	311346	31.1408	7.68966e-09	-78239.5	-78239.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01937	NA	NA	10000	341485	34.1553	2.42023e-09	-81292.4	-177073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01938	NA	NA	10000	343040	34.3109	1.83921e-05	-72944.9	-107591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01939	NA	NA	10000	343380	34.3449	1.79285e-08	-81382	-81382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01940	NA	NA	10000	343495	34.3529	3.08127e-05	-76778.9	-99910	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01941	NA	NA	10000	344926	34.4995	6.46649e-09	-79922.2	-105317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01942	NA	NA	10000	332598	33.2665	2.40467e-08	-75976.5	-75976.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01943	NA	NA	10000	331077	33.1143	8.82137e-09	-75106.4	-97535.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01944	NA	NA	10000	335927	33.5961	2.09681e-08	-82154.3	-82154.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01945	NA	NA	10000	327724	32.779	1.39891e-08	-77087.7	-77087.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01946	NA	NA	10000	354954	35.5025	7.18022e-09	-84645.7	-84645.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01947	NA	NA	10000	299804	29.9834	1.7483e-05	-73160.8	-129916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01948	NA	NA	10000	343508	34.3508	4.89292e-08	-88273.5	-115895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01949	NA	NA	10000	331780	33.1813	3.43162e-09	-84249.2	-145474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01950	NA	NA	10000	301416	30.1476	3.24471e-09	-69389.1	-69389.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01951	NA	NA	10000	300428	30.0518	6.66541e-05	-65511	-70183.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01952	NA	NA	10000	342064	34.2098	4.31642e-09	-76294.9	-102789	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01953	NA	NA	10000	339564	33.9632	1.79853e-08	-76652.2	-76652.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01954	NA	NA	10000	305145	30.5176	1.79848e-08	-66493.8	-66493.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01955	NA	NA	10000	350799	35.0904	5.82656e-09	-76532.7	-76532.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01956	NA	NA	10000	322066	32.213	6.80877e-09	-84366.4	-143205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01958	NA	NA	10000	327339	32.7503	4.958e-09	-86642.4	-152949	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01959	NA	NA	10000	340043	34.0145	2.69183e-09	-88281.6	-155668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01960	NA	NA	10000	358942	35.9014	4.03857e-09	-94012.3	-158143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
