ID,优先纳入,PC,role,value
1208821,FIRST,4,Contaminating,0.484432
1209159,FIRST,1,Contaminating,-0.00695741
1209159,FIRST,2,Contaminating,-0.0498383
1209159,FIRST,3,Contaminating,-0.0924029
1209159,FIRST,4,Contaminating,-0.00857142
1209371,FIRST,1,Contaminating,-0.0980646
1209371,FIRST,2,Contaminating,-0.0552783
1209371,FIRST,3,Contaminating,-0.10529
1209371,FIRST,4,Contaminating,-0.138838
1209411,FIRST,1,Contaminating,-0.0257939
1209411,FIRST,2,Contaminating,-0.0105998
1209411,FIRST,3,Contaminating,0.0360525
1209411,FIRST,4,Contaminating,0.000355224
1209488,FIRST,1,Contaminating,-0.0110905
1209488,FIRST,2,Contaminating,-0.0637917
1209488,FIRST,3,Contaminating,0.0711506
1209488,FIRST,4,Contaminating,0.220162
1209674,FIRST,1,Contaminating,-0.0410833
1209674,FIRST,2,Contaminating,-0.0305846
1209674,FIRST,3,Contaminating,-0.0930211
1209674,FIRST,4,Contaminating,0.00684202
1209861,FIRST,1,Contaminating,-0.0477267
1209861,FIRST,2,Contaminating,-0.0734018
1209861,FIRST,3,Contaminating,0.0257352
1209861,FIRST,4,Contaminating,0.15559
1210281,FIRST,1,Contaminating,-0.0505217
1210281,FIRST,2,Contaminating,-0.026735
1210281,FIRST,3,Contaminating,0.0737012
1210281,FIRST,4,Contaminating,0.00405395
1210651,FIRST,1,Contaminating,-0.0798333
1210651,FIRST,2,Contaminating,-0.0419734
1210651,FIRST,3,Contaminating,0.0913081
1210651,FIRST,4,Contaminating,-0.0543466
1211776,FIRST,1,Contaminating,-0.0149262
1211776,FIRST,2,Contaminating,-0.0755309
1211776,FIRST,3,Contaminating,-0.0598375
1211776,FIRST,4,Contaminating,0.00111187
1211839,FIRST,1,Contaminating,-0.027557
1211839,FIRST,2,Contaminating,-0.0304775
1211839,FIRST,3,Contaminating,-0.0189741
1211839,FIRST,4,Contaminating,-0.0807762
1211997,FIRST,1,Contaminating,0.0120474
1211997,FIRST,2,Contaminating,-0.0932756
1211997,FIRST,3,Contaminating,-0.0323931
1211997,FIRST,4,Contaminating,0.0883666
1212230,FIRST,1,Contaminating,-0.0177171
1212230,FIRST,2,Contaminating,-0.0383526
1212230,FIRST,3,Contaminating,0.0425979
1212230,FIRST,4,Contaminating,0.104
1212250,FIRST,1,Contaminating,-0.0554593
