ID,优先纳入,AVG_DP,FREEMIX,status
BA687B,FIRST,23.3349,2.37e-05,PASS
BA687C,FIRST,26.826,7.19e-05,PASS
BA691A,FIRST,30.014,4.35e-05,PASS
BA691B,FIRST,26.6391,6.06e-05,PASS
BA691C,FIRST,26.2872,4.94e-05,PASS
BA692A,FIRST,23.475,5.76e-05,PASS
BA692B,FIRST,25.4683,6.1e-09,PASS
BA692C,FIRST,29.5968,8.22e-05,PASS
BA694A,FIRST,27.8023,5.87e-05,PASS
BA694B,FIRST,25.2529,2.84e-05,PASS
BA694C,FIRST,24.0446,4.53e-05,PASS
BA696A,FIRST,25.0139,1.68e-05,PASS
BA696B,FIRST,24.0082,2.8e-05,PASS
BA696C,FIRST,24.2525,0.000107796,PASS
BA697A,FIRST,24.903,2.2e-05,PASS
BA697B,FIRST,22.7318,4.91e-08,PASS
BA697C,FIRST,26.0135,2.94e-05,PASS
BA700A,FIRST,30.1866,2.65e-05,PASS
BA700B,FIRST,29.8908,9.05e-09,PASS
BA700C,FIRST,26.5282,4.77e-05,PASS
BA701A,FIRST,50.8864,0.00150891,PASS
BA701B,FIRST,43.5997,0.000535188,PASS
BA701C,FIRST,40.3502,0.00140383,PASS
BA704A,FIRST,28.7032,3.56e-05,PASS
BA704B,FIRST,27.9704,4.61e-08,PASS
BA704C,FIRST,28.2962,2.1e-08,PASS
BA705A,FIRST,37.1545,0.00122805,PASS
BA705B,FIRST,42.0858,0.0020261,PASS
BA705C,FIRST,47.6338,0.00164455,PASS
BA706A,FIRST,29.0212,7.49e-05,PASS
BA706B,FIRST,31.6102,2.38e-05,PASS
BA706C,FIRST,27.2242,5.63e-05,PASS
BA707A,FIRST,31.9967,2.67e-08,PASS
BA707B,FIRST,27.5726,1.85e-05,PASS
BA707C,FIRST,30.2601,2.16e-07,PASS
BA709A,FIRST,29.7408,4.81e-05,PASS
BA709B,FIRST,26.2851,9.5e-05,PASS
BA709C,FIRST,27.1848,3.41e-05,PASS
BA711A,FIRST,44.6937,0.00129168,PASS
BA711B,FIRST,41.1565,0.00033107,PASS
BA711C,FIRST,44.0973,0.00150408,PASS
BA712A,FIRST,38.277,3.35e-05,PASS
BA712B,FIRST,37.1784,0.00146339,PASS
BA712C,FIRST,40.8965,0.000338294,PASS
BA714A,FIRST,42.5324,0.00148835,PASS
BA714B,FIRST,42.823,0.00175767,PASS
BA714C,FIRST,35.4697,0.00132148,PASS
BA717A,FIRST,45.1452,0.00126625,PASS
BA717B,FIRST,41.4582,0.00129249,PASS
BA717C,FIRST,47.6891,0.00110356,PASS
BA718A,FIRST,34.7352,0.00224242,PASS
BA718B,FIRST,44.8802,0.00130421,PASS
BA718C,FIRST,34.351,0.000243241,PASS
BA719A,FIRST,34.0183,0.000278676,PASS
BA719B,FIRST,46.844,0.000797688,PASS
BA719C,FIRST,33.0373,0.00155985,PASS
BA721A,FIRST,33.7356,0.000258908,PASS
BA721B,FIRST,48.2827,0.000227161,PASS
BA721C,FIRST,41.3027,0.000173193,PASS
BA77A,FIRST,28.6493,2.44e-08,PASS
BA77B,FIRST,33.1372,1.06e-05,PASS
BA77C,FIRST,27.6647,1.53e-08,PASS
BASC1C,FIRST,33.5035,2.39e-10,PASS
B-FS25063001,FIRST,27.0762,0.000113288,PASS
B-FS25071001,FIRST,30.1991,0.000110555,PASS
B-FS25071402,FIRST,30.0691,7.31e-05,PASS
B-FS25072101,FIRST,29.998,0.00013166,PASS
B-FS25072303,FIRST,29.7068,5.95e-05,PASS
B-FS25072501,FIRST,29.7661,0.000248563,PASS
B-FS25072801,FIRST,32.5767,0.000104993,PASS
B-FS25072901,FIRST,28.7605,8.14e-05,PASS
B-FS25073001,FIRST,29.9505,0.00014193,PASS
B-FS25080401,FIRST,25.5008,4.97e-05,PASS
C15,FIRST,36.7705,0.000471128,PASS
C150C,FIRST,31.6908,0.000126616,PASS
C153C,FIRST,29.7326,0.000170559,PASS
C15C,FIRST,34.3692,8.88e-05,PASS
C20C,FIRST,35.1497,0.000462456,PASS
C21C,FIRST,32.6835,0.000803469,PASS
C227C,FIRST,38.5248,7.97e-05,PASS
C25C,FIRST,35.5526,0.000158852,PASS
C26C,FIRST,33.8357,0.000146204,PASS
C272C,FIRST,31.544,0.000159703,PASS
C275C,FIRST,31.7353,0.000103801,PASS
C276C,FIRST,32.7595,0.000200612,PASS
C277C,FIRST,33.0411,0.000114845,PASS
C278C,FIRST,30.6861,0.000472634,PASS
C281C,FIRST,26.7951,6.59e-05,PASS
C29C,FIRST,34.5743,0.000495778,PASS
C312C,FIRST,28.8835,0.000153498,PASS
C313C,FIRST,30.6162,7.92e-05,PASS
C316C,FIRST,30.4314,0.0362631,FAIL
C31C,FIRST,35.345,0.00198201,PASS
C322C,FIRST,29.0339,0.00041742,PASS
C330C,FIRST,31.6894,6.84e-05,PASS
C335C,FIRST,31.0099,8.96e-05,PASS
C337C,FIRST,29.3609,9.4e-05,PASS
C338C,FIRST,29.865,2.51e-05,PASS
C340C,FIRST,29.0621,0.000607257,PASS
C36C,FIRST,33.6248,0.000158265,PASS
C38C,FIRST,34.5549,0.000464511,PASS
C39C,FIRST,32.5017,0.000123795,PASS
C41C,FIRST,34.6871,0.000163085,PASS
C421C,FIRST,30.8267,0.000183905,PASS
C42C,FIRST,32.1692,0.000452418,PASS
C45C,FIRST,34.6215,0.000178407,PASS
C463C,FIRST,30.5486,0.000401483,PASS
C468C,FIRST,29.5519,0.000413737,PASS
C46C,FIRST,32.0689,0.000402683,PASS
C488C,FIRST,30.7695,0.000347922,PASS
C491C,FIRST,29.9821,0.000119591,PASS
C492C,FIRST,30.9295,0.000383175,PASS
C493C,FIRST,27.3503,0.00547233,PASS
C494C,FIRST,30.5918,0.00141145,PASS
C496C,FIRST,38.3548,0.000231321,PASS
C499C,FIRST,31.4855,0.000196389,PASS
C49C,FIRST,30.0585,0.000413235,PASS
C500C,FIRST,30.749,0.000106234,PASS
C502C,FIRST,35.6495,0.00019212,PASS
C507C,FIRST,31.353,0.000133641,PASS
C509C,FIRST,37.6252,6.01e-05,PASS
C50C,FIRST,32.2055,0.000244308,PASS
C512C,FIRST,34.6065,0.000102639,PASS
C513C,FIRST,34.626,6.94e-05,PASS
C514C,FIRST,31.5218,8.19e-05,PASS
C515C,FIRST,18.034,0.000170555,PASS
C517C,FIRST,34.5283,9.03e-05,PASS
C521C,FIRST,28.5839,0.000185972,PASS
C524C,FIRST,28.9717,0.000276401,PASS
C527C,FIRST,35.6642,3.51e-05,PASS
C531C,FIRST,36.9553,8.58e-05,PASS
C533C,FIRST,36.977,0.000131636,PASS
C535C,FIRST,31.9061,0.000113476,PASS
C53C,FIRST,32.7969,0.000313929,PASS
C542C,FIRST,34.3687,0.0163106,PASS
