ID	质控结果	原因
G1561	通过	通过质控
G1569	不通过	污染率>0.02（最高 0.320693）
G1570	通过	通过质控
G1575	通过	通过质控
G1583	通过	通过质控
G1584	通过	通过质控
G1585	通过	通过质控
G1586	通过	通过质控
G1590	通过	通过质控
G1591	通过	通过质控
G1593	通过	通过质控
G1594	通过	通过质控
G1598	通过	通过质控
G1599	通过	通过质控
G1603	通过	通过质控
G1604	不通过	mtDNA copy number<50（最低 40.957721）
G1606	通过	通过质控
G1608	通过	通过质控
G1610	通过	通过质控
G1616	通过	通过质控
G1617	通过	通过质控
G1618	通过	通过质控
G1622	通过	通过质控
G1633	通过	通过质控
G1634	通过	通过质控
G1635	通过	通过质控
G1643	通过	通过质控
G1646	通过	通过质控
G1647	通过	通过质控
G1652	通过	通过质控
G1653	通过	通过质控
G1654	通过	通过质控
G1655	通过	通过质控
G1659	通过	通过质控
G1663	通过	通过质控
G1664	通过	通过质控
G1667	通过	通过质控
G1675	通过	通过质控
G1682	通过	通过质控
G1686	通过	通过质控
G1689	通过	通过质控
G1694	通过	通过质控
G1695	通过	通过质控
G1699	通过	通过质控
G1702	通过	通过质控
G1703	通过	通过质控
G1706	通过	通过质控
G1707	通过	通过质控
G1708	通过	通过质控
G1710	通过	通过质控
G1712	通过	通过质控
G1713	通过	通过质控
G1715	通过	通过质控
G1717	通过	通过质控
G1718	通过	通过质控
G1720	通过	通过质控
G1727	通过	通过质控
G1733	通过	通过质控
G1734	通过	通过质控
G1735	通过	通过质控
G1736	通过	通过质控
G1737	通过	通过质控
G1738	通过	通过质控
G1739	通过	通过质控
G1740	通过	通过质控
G1742	通过	通过质控
G1745	通过	通过质控
G1746	通过	通过质控
G1747	通过	通过质控
G1748	通过	通过质控
G1749	通过	通过质控
G1756	通过	通过质控
G1758	通过	通过质控
G1759	不通过	污染率>0.02（最高 0.377116）
G1760	通过	通过质控
G1763	通过	通过质控
G1767	通过	通过质控
G1768	通过	通过质控
G1769	通过	通过质控
G1770	通过	通过质控
G1771	通过	通过质控
G1773	通过	通过质控
G1775	通过	通过质控
G1776	通过	通过质控
G1778	通过	通过质控
G1783	通过	通过质控
G1786	通过	通过质控
G1787	通过	通过质控
G1790	通过	通过质控
G1791	通过	通过质控
G1795	通过	通过质控
G1796	通过	通过质控
G1799	通过	通过质控
G1801	通过	通过质控
G1803	通过	通过质控
G1804	通过	通过质控
G1806	通过	通过质控
